CUSTOMER_ID,CUSTOMER_NAME,POSTAL_CODE,STATE,CITY,ADDRESS_LINE1,ADDRESS_LINE2,AGE,EMPLOYMENT_STATUS,SOCIAL_CLASS,RISK_SEGMENTATION,MARITAL_STATUS,POLICY_NUMBER
A00003822,Christopher Demarest,85308,AZ,Glendale,7701 West Saint John Road,#2010,54,Y,LI,L,Y,PLC00008468
A00008149,Ricardo Gatlin,80005,CO,Arvada,8595 West 81st Drive,,61,Y,MI,L,N,PLC00009594
A00003172,Lashawn Engles,94591,CA,Vallejo,637 Britannia Drive,,47,Y,MI,L,N,PLC00007969
A00007572,Steven Bassett,31404,GA,Thunderbolt,2803 River Drive,,36,Y,MI,L,Y,PLC00009292
A00008173,Jason Rodriguez,94550,CA,Livermore,7573 National Drive,,51,Y,HI,M,Y,PLC00000204
A00003571,Terrance Han,85301,AZ,Glendale,5275 North 59th Avenue,,42,Y,MI,M,N,PLC00007244
A00007245,Dennis Johnson,32404,FL,Panama City,5119 Marla Drive,,61,Y,MI,L,Y,PLC00002796
A00004301,Maryalice Martinez,31406,GA,Savannah,6 Little Country Place,,35,Y,MI,L,Y,PLC00002925
A00004671,Nicholas Hamilton,40202,KY,Louisville,642 South 2nd Street,#608,27,Y,MI,H,N,PLC00006886
A00002020,Nicholas Honokaupu,36117,AL,Montgomery,1914 Stratford Downs Drive,,61,Y,HI,L,Y,PLC00007657
A00007952,Janet Watts,6040,CT,Manchester,200 Redwood Road,,59,Y,MI,M,N,PLC00003007
A00006313,Patricia Garrett,37221,TN,Nashville,6721 Boundary Run,,42,Y,HI,H,Y,PLC00002139
A00003693,Lisa Rosario,99515,AK,Anchorage,12870 Old Seward Highway,#STE 000105,57,Y,LI,M,Y,PLC00007839
A00007988,Felicita Stoughton,31419,GA,Savannah,110 Oxford Road,,31,Y,LI,L,N,PLC00002521
A00005617,David Pennington,72101,AR,McCrory,210 Seaman,,55,Y,HI,L,Y,PLC00007011
A00008033,William Halcomb,20019,DC,Washington,5124 E Street Southeast,,57,Y,LI,L,Y,PLC00008152
A00007184,Michael Kimball,6040,CT,Manchester,42 Edison Road,,53,Y,MI,M,Y,PLC00000118
A00007426,Mark Huang,80005,CO,Arvada,9545 West 74th Avenue,,32,Y,HI,L,Y,PLC00000165
A00009265,Marshall Worm,6042,CT,Manchester,119 Oakland Street,,45,Y,MI,H,N,PLC00000619
A00005314,Mary Carmona,20011,DC,Washington,643 Farragut Street Northwest,,59,Y,MI,M,Y,PLC00001411
A00004720,Stacey Lopez,5001,VT,Hartford,10 Skyline Way,,51,Y,MI,L,Y,PLC00003338
A00004728,David Goodman,94708,CA,Berkeley,1358 Scenic Avenue,R B,51,Y,LI,L,N,PLC00004242
A00001482,Doris Yazzie,32413,FL,Panama City Beach,17109 Guava Avenue,,44,Y,MI,L,N,PLC00007915
A00001719,Matt Mattis,99503,AK,Anchorage,1040 West 27th Avenue,#APT 000401,64,N,MI,M,Y,PLC00000786
A00000138,Roberto Trudel,31419,GA,Savannah,110 Oxford Road,,47,Y,MI,L,Y,PLC00009960
A00001186,Brian Conley,21076,MD,Hanover,1742 Allerford Drive,,47,Y,MI,H,Y,PLC00007391
A00006946,Barbara Clouthier,94611,CA,Oakland,4329 Howe Street,,26,Y,MI,L,Y,PLC00009230
